64822927,sea_of_shoes,101586,570
19212009,WhoWhatWear,2102642,1594
24190981,TeenVogue,2589429,2819
22830044,rumineely,122310,304
21401466,VogueRunway,1606881,637
21208444,BarneysNY,460649,2337
17475920,BagSnob,165175,888
19546942,Refinery29,1110118,1362
228379737,thecoveteur,155131,2766
20779908,carolinaengman,42164,107
183016276,IntoTheGloss,140521,1421
136361303,voguemagazine,10938461,534
35443315,stylescrapbook,70166,545
24599923,alexa_chung,1570907,429
92577188,evachen212,137511,564
141598384,ManRepeller,357481,342
7092102,bryanboy,589937,2443
20298371,AIMEESONG,62401,359
204491797,neimanmarcus,370001,1664
28726228,theglamourai,60187,46418899974,1,188069,2
287253599,3,152394,164
966635792,5,15252,1
18899974,1,188069,2
287253599,3,152394,164
966635792,5,15252,1
18899974,1,188069,2
287253599,3,152394,164
966635792,5,15252,1
